,Name1,Name2,index,score,pdockQ1,pdockQ2,pdockQ3,meanDock,PPV1,PPV2,PPV3,RMSD_12,RMSD_13,RMSD_23
4418,"AAC71412.1 phenylalanyl-tRNA synthetase, alpha subunit [Mycoplasmoides genitalium G37]","AAC71413.1 phenylalanyl-tRNA synthetase, beta subunit [Mycoplasmoides genitalium G37]",99362,4782.5017589075496,0.71117038680793976,0.71044694761398952,0.700619613879921,0.70741231610061683,0.98128026999999995,0.98128026999999995,0.98128026999999995,0.17150964524186085,0.60012116043667318,0.56422523303278349
9000,"AAC71259.1 spermidine/putrescine ABC transporter, permease protein, putative [Mycoplasmoides genitalium G37]","AAC71260.1 spermidine/putrescine ABC transporter, permease protein, putative [Mycoplasmoides genitalium G37]",43584,4737.4431086825743,0.70579474140726184,0.70705045337103023,0.6971676130835055,0.70333760262059919,0.98128026999999995,0.98128026999999995,0.98128026999999995,0.1890752080062808,0.36144255437186501,0.43474269073040794
6224,"AAC71407.1 ABC transporter, permease protein [Mycoplasmoides genitalium G37]","AAC71408.2 ABC transporter, permease protein [Mycoplasmoides genitalium G37]",55634,4672.0992165112211,0.70819514781483428,0.70343552178201285,0.71096112169948278,0.70753059709877653,0.98128026999999995,0.98128026999999995,0.98128026999999995,0.43802117748194802,0.47038279602997213,0.41227146564765094
5210,"AAC71230.1 ABC transporter, ATP-binding/permease protein [Mycoplasmoides genitalium G37]","AAC71231.1 ABC transporter, ATP-binding/permease protein [Mycoplasmoides genitalium G37]",101651,4595.3135888927072,0.7076209293320298,0.71386789365018744,0.7116860337208617,0.7110582855676929,0.98128026999999995,0.98128026999999995,0.98128026999999995,1.0057111935765561,0.84051294670873222,0.55734530057313936
1756,"AAC71396.1 DNA-directed RNA polymerase, alpha subunit [Mycoplasmoides genitalium G37]","AAC71566.1 DNA-directed RNA polymerase, beta subunit [Mycoplasmoides genitalium G37]",110451,4385.9179665904912,0.67967088201495496,0.6798196145965999,0.67216807537968504,0.67721952399707996,0.98128026999999995,0.98128026999999995,0.98128026999999995,0.23241694815409131,0.27021380823232033,0.21855559645494421
7205,AAC71252.1 aspartyl-tRNA synthetase [Mycoplasmoides genitalium G37],AAC71353.1 lysyl-tRNA synthetase [Mycoplasmoides genitalium G37],94377,4249.3981827838261,0.67853326011980919,0.66594208630655038,0.67452698729791227,0.67300077790809054,0.98128026999999995,0.98128026999999995,0.98128026999999995,0.39630902996306883,0.53411878478491848,0.39239248198292176
4707,AAC71252.1 aspartyl-tRNA synthetase [Mycoplasmoides genitalium G37],AAC71331.1 asparaginyl-tRNA synthetase [Mycoplasmoides genitalium G37],92516,4150.7729998926879,0.67581812544840281,0.67161613954792732,0.64625650656805422,0.66456359052146141,0.98128026999999995,0.98128026999999995,0.96322523999999998,0.45859501765194233,0.40270208436625277,0.43538916154808743
3374,"AAC71627.1 ATP synthase F1, beta subunit [Mycoplasmoides genitalium G37]","AAC71629.1 ATP synthase F1, alpha subunit [Mycoplasmoides genitalium G37]",91807,3709.7406291800312,0.62358420550870786,0.63327462273768931,0.63676708393032577,0.63120863739224087,0.94001920000000005,0.96322523999999998,0.96322523999999998,0.46040835870888019,0.20478000009931813,0.63568940904394999
2063,"AAC71317.1 glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit [Mycoplasmoides genitalium G37]","AAC71318.1 glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, B subunit [Mycoplasmoides genitalium G37]",89113,3600.9476858159428,0.62699592548085414,0.62883440031463778,0.60874112542275116,0.62152381707274762,0.95333044,0.95333044,0.94001920000000005,0.24099253864132006,0.20699584638624635,0.36317392871722265
735,AAC71471.1 glycyl-tRNA synthetase [Mycoplasmoides genitalium G37],AAC71602.1 threonyl-tRNA synthetase [Mycoplasmoides genitalium G37],92783,3562.46455042251,0.61485474196981771,0.63420734066660878,0.61620976010808615,0.62175728091483762,0.94001920000000005,0.96322523999999998,0.94001920000000005,0.33638464172997568,0.43473290724568625,0.57105071480054892
